gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	prior_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	prior_gene_rank	rank_delta
Olr722	3	78748001	929	#73af42	olfactory receptor 722	180	0	0	0		270	670	-400
Olr190	1	169966190	947	#73af42	olfactory receptor 190	180	0	0	0		270	670	-400
Olr189	1	169951913	941	#73af42	olfactory receptor 189	180	0	0	0		270	670	-400
Olr204	1	4858907	947	#73af42	olfactory receptor 204	180	0	0	0		270	670	-400
Olr727	3	78862094	929	#73af42	olfactory receptor 727	180	0	0	0		270	670	-400
Olr324	1	228537139	935	#73af42	olfactory receptor 324	180	0	0	0		270	670	-400
Olr323	1	228523504	935	#73af42	olfactory receptor 323	180	0	0	0		270	670	-400
Olr321	1	228474340	932	#73af42	olfactory receptor 321	180	0	0	0		270	670	-400
Olr775	3	103042803	938	#73af42	olfactory receptor 775	180	0	0	0		270	670	-400
Olr213	1	170840437	926	#73af42	olfactory receptor 213	180	0	0	0		270	670	-400
Olr241	1	172129514	932	#73af42	olfactory receptor 241	180	0	0	0		270	670	-400
Olr268	1	172752416	944	#73af42	olfactory receptor 268	180	0	0	0		270	670	-400
Olr278	1	172942909	944	#73af42	olfactory receptor 278	180	0	0	0		270	670	-400
Olr1541	11	43340505	929	#73af42	olfactory receptor 1541	180	0	0	0		270	670	-400
Bpifc	7	23854846	57107	#73af42	BPI fold containing family C	180	0	0	0		270	670	-400
F13b	13	56598955	24175	#73af42	coagulation factor XIII B chain	180	0	0	0		270	670	-400
Fnbp4	3	79570625	39497	#73af42	formin binding protein 4	180	0	0	0		270	670	-400
Apmap	3	146376828	19518	#73af42	adipocyte plasma membrane associated protein	180	0	0	0		270	670	-400
N4bp3	10	37091453	2869	#73af42	Nedd4 binding protein 3	180	0	0	0		270	670	-400
Tor1b	3	9792899	6025	#73af42	torsin family 1, member B	180	0	0	0		270	670	-400
Spire1	18	63226557	130741	#73af42	spire-type actin nucleation factor 1	180	0	0	0		270	670	-400
Crtap	8	122413597	7858	#73af42	cartilage associated protein	180	0	0	0		270	670	-400
Nod2	19	19332594	44195	#73af42	nucleotide-binding oligomerization domain containing 2	180	0	0	0		270	670	-400
Jkamp	6	94835845	13939	#73af42	JNK1/MAPK8-associated membrane protein	180	0	0	0		270	670	-400
Snrnp27	4	118478075	9558	#73af42	small nuclear ribonucleoprotein U4/U6.U5 subunit 27	180	0	0	0		270	670	-400
Eef1aknmt		80427599	13705	#73af42		180	0	0	0		-1	-1	-1
Plcxd2	11	57207656	52345	#73af42	phosphatidylinositol-specific phospholipase C, X domain containing 2	180	0	0	0		270	670	-400
Lrrc49	8	65481586	105841	#73af42	leucine rich repeat containing 49	180	0	0	0		270	670	-400
Rab40b	10	110557798	27626	#73af42	Rab40b, member RAS oncogene family	180	0	0	0		270	670	-400
Daam1	6	94636222	102804	#73af42	dishevelled associated activator of morphogenesis 1	180	0	0	0		270	670	-400
Atp23	7	70183625	15030	#73af42	ATP23 metallopeptidase and ATP synthase assembly factor homolog	180	0	0	0		270	670	-400
Tjp3	7	11301957	12578	#73af42	tight junction protein 3	180	0	0	0		270	670	-400
Qrich1	8	117307339	39397	#73af42	glutamine-rich 1	180	0	0	0		270	670	-400
Twsg1	9	113701476	27928	#73af42	twisted gastrulation BMP signaling modulator 1	180	0	0	0		270	670	-400
Fkbp2	1	222232349	2753	#73af42	FKBP prolyl isomerase 2	180	0	0	0		270	670	-400
Fam167a	15	46629230	14540	#73af42	family with sequence similarity 167, member A	180	0	0	0		270	670	-400
Ubtf	10	90250275	14742	#73af42	upstream binding transcription factor	180	0	0	0		270	670	-400
Dipk2a	8	102140713	19115	#73af42	divergent protein kinase domain 2A	180	0	0	0		270	670	-400
Wdr63		251912432	58267	#73af42		180	0	0	0		-1	-1	-1
Tcte3		56970725	11829	#73af42		180	0	0	0		-1	-1	-1
Syce2	19	25983169	18148	#73af42	synaptonemal complex central element protein 2	180	0	0	0		270	670	-400
Stox2	16	48120864	108027	#73af42	storkhead box 2	180	0	0	0		270	670	-400
Rtbdn	19	26066127	7067	#73af42	retbindin	180	0	0	0		270	670	-400
Klf1	19	26016382	3171	#73af42	Kruppel like factor 1	180	0	0	0		270	670	-400
Zswim4	19	25320683	25107	#73af42	zinc finger, SWIM-type containing 4	180	0	0	0		270	670	-400
Frs2	7	60128508	81974	#73af42	fibroblast growth factor receptor substrate 2	180	0	0	0		270	670	-400
Rpn2	3	153398432	47200	#73af42	ribophorin II	180	0	0	0		270	670	-400
Arl2	1	221504173	11943	#73af42	ADP-ribosylation factor like GTPase 2	180	0	0	0		270	670	-400
Cldn1	11	77815216	15155	#73af42	claudin 1	180	0	0	0		270	670	-400
Olr226	1	171059028	983	#73af42	olfactory receptor 226	180	0	0	0		270	670	-400
Clta	5	59491136	17995	#73af42	clathrin, light chain A	180	0	0	0		270	670	-400
Ptcd3	4	99795646	27283	#73af42	Pentatricopeptide repeat domain 3	180	0	0	0		270	670	-400
Foxh1	7	117730307	2080	#73af42	forkhead box H1	180	0	0	0		270	670	-400
Stox1	20	32276857	76820	#73af42	storkhead box 1	180	0	0	0		270	670	-400
Fance	20	7895084	11058	#73af42	FA complementation group E	180	0	0	0		270	670	-400
Pmvk	2	188784329	9556	#73af42	phosphomevalonate kinase	180	0	0	0		270	670	-400
RGD1564171	2	189413966	3034	#73af42	RGD1564171	180	0	0	0		270	670	-400
Dbx1	1	104969218	4430	#73af42	developing brain homeobox 1	180	0	0	0		270	670	-400
Fhl5	5	39564241	46812	#73af42	four and a half LIM domains 5	180	0	0	0		270	670	-400
Bin3	15	51799338	19359	#73af42	bridging integrator 3	180	0	0	0		270	670	-400
LOC499843	3	90720921	30134	#73af42	LRRGT00091	180	0	0	0		270	670	-400
Mapkapk5	12	40510378	18954	#73af42	MAPK activated protein kinase 5	180	0	0	0		270	670	-400
Dnajb11	11	81741342	16464	#73af42	DnaJ heat shock protein family (Hsp40) member B11	180	0	0	0		270	670	-400
Phf19	3	13957136	21088	#73af42	PHD finger protein 19	180	0	0	0		270	670	-400
Exd1	3	111326480	27939	#73af42	exonuclease 3'-5' domain containing 1	180	0	0	0		270	670	-400
Kcmf1	4	100759526	23491	#73af42	potassium channel modulatory factor 1	180	0	0	0		270	670	-400
Nup85	10	104118999	18259	#73af42	nucleoporin 85	180	0	0	0		270	670	-400
Ly6e	7	116356169	3693	#73af42	lymphocyte antigen 6 family member E	180	0	0	0		270	670	-400
C1qtnf12	5	173390901	4375	#73af42	C1q and TNF related 12	180	0	0	0		270	670	-400
Ube2m	1	65537640	3537	#73af42	ubiquitin-conjugating enzyme E2M	180	0	0	0		270	670	-400
Cdc42ep5	1	73719005	524	#73af42	CDC42 effector protein 5	180	0	0	0		270	670	-400
Itpripl1	3	119616942	2923	#73af42	ITPRIP like 1	180	0	0	0		270	670	-400
Gart	11	31780479	25249	#73af42	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	180	0	0	0		270	670	-400
Nsg2	10	15867885	60284	#73af42	neuronal vesicle trafficking associated 2	180	0	0	0		270	670	-400
Cdk10	19	56024903	7707	#73af42	cyclin-dependent kinase 10	180	0	0	0		270	670	-400
Casq1	13	90592676	9689	#73af42	calsequestrin 1	180	0	0	0		270	670	-400
Ddx59	13	53299872	24952	#73af42	DEAD-box helicase 59	180	0	0	0		270	670	-400
Il17c	19	55246926	1279	#73af42	interleukin 17C	180	0	0	0		270	670	-400
Igflr1	1	89020341	1878	#73af42	IGF-like family receptor 1	180	0	0	0		270	670	-400
Hypm		13989401	554	#73af42		180	0	0	0		-1	-1	-1
Fam135a	9	30255467	78509	#73af42	family with sequence similarity 135, member A	180	0	0	0		270	670	-400
Sinhcaf	4	183401316	25123	#73af42	SIN3-HDAC complex associated factor	180	0	0	0		270	670	-400
Hsd17b14	1	101541266	9793	#73af42	hydroxysteroid (17-beta) dehydrogenase 14	180	0	0	0		270	670	-400
Cep85l	20	34575950	107556	#73af42	centrosomal protein 85-like	180	0	0	0		270	670	-400
MGC114246	17	3924473	5503	#73af42	similar to cathepsin R	180	0	0	0		270	670	-400
Cfap300	8	6218391	17576	#73af42	cilia and flagella associated protein 300	180	0	0	0		270	670	-400
Tmem106a	10	89484468	8815	#73af42	transmembrane protein 106A	180	0	0	0		270	670	-400
Trdmt1	17	80826749	32836	#73af42	tRNA aspartic acid methyltransferase 1	180	0	0	0		270	670	-400
LOC365985		257671772	192613	#73af42		180	0	0	0		-1	-1	-1
Dctn2	7	70556024	15264	#73af42	dynactin subunit 2	180	0	0	0		270	670	-400
Mthfd1l	1	40529092	190138	#73af42	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	180	0	0	0		270	670	-400
Ms4a8	1	227136154	13594	#73af42	membrane spanning 4-domains A8	180	0	0	0		270	670	-400
Fbxw8	12	44046217	91921	#73af42	F-box and WD repeat domain containing 8	180	0	0	0		270	670	-400
Abr	10	64565121	91958	#73af42	ABR activator of RhoGEF and GTPase	180	0	0	0		270	670	-400
Oxct1	2	53859738	147995	#73af42	3-oxoacid CoA transferase 1	180	0	0	0		270	670	-400
Mkrn2	4	147514120	17966	#73af42	makorin, ring finger protein, 2	180	0	0	0		270	670	-400
Golim4	2	174322339	91023	#73af42	golgi integral membrane protein 4	180	0	0	0		270	670	-400
Defb51	16	75554852	4120	#73af42	defensin beta 51	180	0	0	0		270	670	-400
LOC501618	X	105427939	5499	#73af42	LRRGT00179	180	0	0	0		270	670	-400
Cpsf3	6	43363792	27920	#73af42	cleavage and polyadenylation specific factor 3	180	0	0	0		270	670	-400
Poglut1	11	64761493	26717	#73af42	protein O-glucosyltransferase 1	180	0	0	0		270	670	-400
Sri	4	23006241	12695	#73af42	sorcin	180	0	0	0		270	670	-400
Camk4	18	25749104	216814	#73af42	calcium/calmodulin-dependent protein kinase IV	180	0	0	0		270	670	-400
Syk	17	12614311	55257	#73af42	spleen associated tyrosine kinase	180	0	0	0		270	670	-400
Scn2b	8	49419003	8547	#73af42	sodium voltage-gated channel beta subunit 2	180	0	0	0		270	670	-400
Rpl39	X	123705241	2935	#73af42	ribosomal protein L39	180	0	0	0		270	670	-400
Gpc4	X	139354379	110454	#73af42	glypican 4	180	0	0	0		270	670	-400
Art5	1	167192809	9958	#73af42	ADP-ribosyltransferase 5	180	0	0	0		270	670	-400
Ctsa	3	161298750	5877	#73af42	cathepsin A	180	0	0	0		270	670	-400
Olr773	3	102947730	938	#73af42	olfactory receptor 773	180	0	0	0		270	670	-400
Olr770	3	102841615	938	#73af42	olfactory receptor 770	180	0	0	0		270	670	-400
Olr769	3	102825441	938	#73af42	olfactory receptor 769	180	0	0	0		270	670	-400
Olr758	3	102658573	938	#73af42	olfactory receptor 758	180	0	0	0		270	670	-400
Olr710	3	78544191	944	#73af42	olfactory receptor 710	180	0	0	0		270	670	-400
Olr690	3	78065188	935	#73af42	olfactory receptor 690	180	0	0	0		270	670	-400
Olr705	3	78428663	920	#73af42	olfactory receptor 705	180	0	0	0		270	670	-400
Olr578	3	75751569	932	#73af42	olfactory receptor 578	180	0	0	0		270	670	-400
Olr577	3	75733032	938	#73af42	olfactory receptor 577	180	0	0	0		270	670	-400
Olr542	3	75088126	938	#73af42	olfactory receptor 542	180	0	0	0		270	670	-400
Olr541	3	74700774	938	#73af42	olfactory receptor 541	180	0	0	0		270	670	-400
Olr536	3	74596461	932	#73af42	olfactory receptor 536	180	0	0	0		270	670	-400
Olr532	3	74566720	965	#73af42	olfactory receptor 532	180	0	0	0		270	670	-400
Olr522	3	74255120	947	#73af42	olfactory receptor 522	180	0	0	0		270	670	-400
Olr482	3	73492677	944	#73af42	olfactory receptor 482	180	0	0	0		270	670	-400
Olr395	3	15688992	938	#73af42	olfactory receptor 395	180	0	0	0		270	670	-400
Olr399	3	15856289	923	#73af42	olfactory receptor 399	180	0	0	0		270	670	-400
Olr390	2	199528902	962	#73af42	olfactory receptor 390	180	0	0	0		270	670	-400
Olr1693	20	830485	962	#73af42	olfactory receptor 1693	180	0	0	0		270	670	-400
Olr361	1	230160365	932	#73af42	olfactory receptor 361	180	0	0	0		270	670	-400
Olr311	1	213374895	932	#73af42	olfactory receptor 311	180	0	0	0		270	670	-400
Olr286	1	212632366	938	#73af42	olfactory receptor 286	180	0	0	0		270	670	-400
Olr224	1	171044475	944	#73af42	olfactory receptor 224	180	0	0	0		270	670	-400
Olr218	1	170927007	950	#73af42	olfactory receptor 218	180	0	0	0		270	670	-400
Olr202	1	170185494	968	#73af42	olfactory receptor 202	180	0	0	0		270	670	-400
Olr192	1	169990693	938	#73af42	olfactory receptor 192	180	0	0	0		270	670	-400
Olr158	1	169636914	959	#73af42	olfactory receptor 158	180	0	0	0		270	670	-400
Olr154	1	169575656	953	#73af42	olfactory receptor 154	180	0	0	0		270	670	-400
Olr152	1	169552487	941	#73af42	olfactory receptor 152	180	0	0	0		270	670	-400
Olr145	1	169269385	944	#73af42	olfactory receptor 145	180	0	0	0		270	670	-400
Krt34	10	87950364	3691	#73af42	keratin 34	180	0	0	0		270	670	-400
Cdh7	13	31092405	135683	#73af42	cadherin 7	180	0	0	0		270	670	-400
Hars2	18	29629231	9229	#73af42	histidyl-tRNA synthetase 2, mitochondrial	180	0	0	0		270	670	-400
Mettl7b	7	3383876	2646	#73af42	methyltransferase like 7B	180	0	0	0		270	670	-400
Xylb	8	128044175	32769	#73af42	xylulokinase	180	0	0	0		270	670	-400
Mapre2	18	14814150	966139	#73af42	microtubule-associated protein, RP/EB family, member 2	180	0	0	0		270	670	-400
Smad6	8	68898291	67817	#73af42	SMAD family member 6	180	0	0	0		270	670	-400
Acot13	17	42241141	12470	#73af42	acyl-CoA thioesterase 13	180	0	0	0		270	670	-400
Hecw1	17	53231343	542314	#73af42	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	180	0	0	0		270	670	-400
Hist1h2bo	17	44756557	1613	#73af42	histone cluster 1 H2B family member o	180	0	0	0		270	670	-400
Zbtb11	11	47079234	34759	#73af42	zinc finger and BTB domain containing 11	180	0	0	0		270	670	-400
Plekhh3	10	89076470	8415	#73af42	pleckstrin homology, MyTH4 and FERM domain containing H3	180	0	0	0		270	670	-400
Nmnat1	5	166409460	20794	#73af42	nicotinamide nucleotide adenylyltransferase 1	180	0	0	0		270	670	-400
Myh14	1	100608975	62099	#73af42	myosin heavy chain 14	180	0	0	0		270	670	-400
Mir125a	1	59704827	84	#73af42	microRNA 125a	180	0	0	0		270	670	-400
Eif3c	1	197964406	18195	#73af42	eukaryotic translation initiation factor 3, subunit C	180	0	0	0		270	670	-400
Ripor1	19	37568113	16729	#73af42	RHO family interacting cell polarization regulator 1	180	0	0	0		270	670	-400
Otx2	15	25500995	9584	#73af42	orthodenticle homeobox 2	180	0	0	0		270	670	-400
Slu7	10	29029556	14952	#73af42	SLU7 homolog, splicing factor	180	0	0	0		270	670	-400
Rnf144a	6	45513302	115859	#73af42	ring finger protein 144A	180	0	0	0		270	670	-400
Adpgk	8	64088913	27919	#73af42	ADP-dependent glucokinase	180	0	0	0		270	670	-400
Tyw1	12	29824990	94250	#73af42	tRNA-yW synthesizing protein 1 homolog	180	0	0	0		270	670	-400
Slc27a4	3	8363937	12921	#73af42	solute carrier family 27 member 4	180	0	0	0		270	670	-400
Extl2	2	218951451	20437	#73af42	exostosin-like glycosyltransferase 2	180	0	0	0		270	670	-400
Pxdn	6	48866515	115853	#73af42	peroxidasin	180	0	0	0		270	670	-400
LOC100361793	20	11633805	332	#73af42	keratin associated protein 12-1-like	180	0	0	0		270	670	-400
Ubash3b	8	45227232	147902	#73af42	ubiquitin associated and SH3 domain containing, B	180	0	0	0		270	670	-400
Dpy19l1	8	25582939	86455	#73af42	dpy-19 like C-mannosyltransferase 1	180	0	0	0		270	670	-400
Ranbp2	20	28027054	49610	#73af42	RAN binding protein 2	180	0	0	0		270	670	-400
Ablim2	14	80045079	124393	#73af42	actin binding LIM protein family, member 2	180	0	0	0		270	670	-400
Srgap3	4	144639491	229634	#73af42	SLIT-ROBO Rho GTPase activating protein 3	180	0	0	0		270	670	-400
Zdhhc6	1	276291411	18222	#73af42	zinc finger DHHC-type palmitoyltransferase 6	180	0	0	0		270	670	-400
Dohh	7	11191127	4739	#73af42	deoxyhypusine hydroxylase	180	0	0	0		270	670	-400
Mrap	11	30904733	10491	#73af42	melanocortin 2 receptor accessory protein	180	0	0	0		270	670	-400
Sirpb3	3	121978126	79506	#73af42	signal-regulatory protein beta 3	180	0	0	0		270	670	-400
Tbck	2	237751654	206843	#73af42	TBC1 domain containing kinase	180	0	0	0		270	670	-400
H1f0	7	120260776	1855	#73af42	H1.0 linker histone	180	0	0	0		270	670	-400
Gstp1	1	219291679	2468	#73af42	glutathione S-transferase pi 1	180	0	0	0		270	670	-400
Cd164l2	5	151413382	4308	#73af42	CD164 molecule like 2	180	0	0	0		270	670	-400
Hint3	1	29413425	9863	#73af42	histidine triad nucleotide binding protein 3	180	0	0	0		270	670	-400
Rcor1	6	135475539	76611	#73af42	REST corepressor 1	180	0	0	0		270	670	-400
Scn2a	3	51687910	134098	#73af42	sodium voltage-gated channel alpha subunit 2	180	0	0	0		270	670	-400
Vom2r27	1	64667030	32126	#73af42	vomeronasal 2 receptor, 27	180	0	0	0		270	670	-400
Adam28	15	50358192	67708	#73af42	ADAM metallopeptidase domain 28	180	0	0	0		270	670	-400
Ldhal6b	1	46307853	1423	#73af42	lactate dehydrogenase A-like 6B	180	0	0	0		270	670	-400
Np4	16	75478554	2557	#73af42	defensin NP-4 precursor	180	0	0	0		270	670	-400
Vom1r100	4	122005567	3734	#73af42	vomeronasal 1 receptor 100	180	0	0	0		270	670	-400
Ugt2b1		22724399	11749	#73af42		180	0	0	0		-1	-1	-1
Cyp2d5	7	123616596	4506	#73af42	cytochrome P450, family 2, subfamily d, polypeptide 5	180	0	0	0		270	670	-400
Olr59	1	167906037	5924	#73af42	olfactory receptor 59	180	0	0	0		270	670	-400
Tph2	7	58042281	106780	#73af42	tryptophan hydroxylase 2	180	0	0	0		270	670	-400
Lgr4	3	101051957	100162	#73af42	leucine-rich repeat-containing G protein-coupled receptor 4	180	0	0	0		270	670	-400
Wnk4	10	89181253	16960	#73af42	WNK lysine deficient protein kinase 4	180	0	0	0		270	670	-400
Tox4	15	28696378	13581	#73af42	TOX high mobility group box family member 4	180	0	0	0		270	670	-400
Zfp689	1	198894000	6364	#73af42	zinc finger protein 689	180	0	0	0		270	670	-400
Bpgm	4	61912210	28487	#73af42	bisphosphoglycerate mutase	180	0	0	0		270	670	-400
Rhot2	10	15205945	5794	#73af42	ras homolog family member T2	180	0	0	0		270	670	-400
Pxk	15	18548212	68377	#73af42	PX domain containing serine/threonine kinase	180	0	0	0		270	670	-400
Ston1	6	12362813	16970	#73af42	stonin 1	180	0	0	0		270	670	-400
Ifi27l2b	6	127336305	1486	#73af42	interferon, alpha-inducible protein 27 like 2B	180	0	0	0		270	670	-400
Ifi27	6	127327959	6472	#73af42	interferon, alpha-inducible protein 27	180	0	0	0		270	670	-400
Clca4	2	250843165	20895	#73af42	chloride channel accessory 4	180	0	0	0		270	670	-400
Tfap2c	3	170550314	7882	#73af42	transcription factor AP-2 gamma	180	0	0	0		270	670	-400
Ppp2r5b	1	221588533	15939	#73af42	protein phosphatase 2, regulatory subunit B', beta	180	0	0	0		270	670	-400
Sgtb	2	34186091	33711	#73af42	small glutamine rich tetratricopeptide repeat co-chaperone beta	180	0	0	0		270	670	-400
Gpr135	6	94816976	1373	#73af42	G protein-coupled receptor 135	180	0	0	0		270	670	-400
Tnni3k	2	261069212	267920	#73af42	TNNI3 interacting kinase	180	0	0	0		270	670	-400
Strada	10	94355384	28955	#73af42	STE20 related adaptor alpha	180	0	0	0		270	670	-400
Nnat	3	154043873	2459	#73af42	neuronatin	180	0	0	0		270	670	-400
Ccdc50	11	76747960	56495	#73af42	coiled-coil domain containing 50	180	0	0	0		270	670	-400
Pfkp	17	68510765	63622	#73af42	phosphofructokinase, platelet	180	0	0	0		270	670	-400
Tsks	1	100939868	14078	#73af42	testis-specific serine kinase substrate	180	0	0	0		270	670	-400
Hrc	1	101324788	3603	#73af42	histidine rich calcium binding protein	180	0	0	0		270	670	-400
Abcg2	4	88834066	56202	#73af42	ATP binding cassette subfamily G member 2	180	0	0	0		270	670	-400
Rtn4rl2	3	72273424	15886	#73af42	reticulon 4 receptor-like 2	180	0	0	0		270	670	-400
Trim50	12	24348754	14973	#73af42	tripartite motif-containing 50	180	0	0	0		270	670	-400
Cyp26b1	4	116261796	16819	#73af42	cytochrome P450, family 26, subfamily b, polypeptide 1	180	0	0	0		270	670	-400
Ypel2	10	74243812	54787	#73af42	yippee-like 2	180	0	0	0		270	670	-400
Mrps17	12	30570386	3177	#73af42	mitochondrial ribosomal protein S17	180	0	0	0		270	670	-400
Saxo2	1	144586260	15067	#73af42	stabilizer of axonemal microtubules 2	180	0	0	0		270	670	-400
Rlbp1	1	141097795	13580	#73af42	retinaldehyde binding protein 1	180	0	0	0		270	670	-400
Ntn4	7	34533543	115787	#73af42	netrin 4	180	0	0	0		270	670	-400
Mtmr6	15	40558963	38346	#73af42	myotubularin related protein 6	180	0	0	0		270	670	-400
Snx6	6	75626927	43208	#73af42	sorting nexin 6	180	0	0	0		270	670	-400
Unc93b1	1	219173002	10937	#73af42	unc-93 homolog B1, TLR signaling regulator	180	0	0	0		270	670	-400
Tp73	5	171355876	59478	#73af42	tumor protein p73	180	0	0	0		270	670	-400
Smim23	10	17717599	3634	#73af42	small integral membrane protein 23	180	0	0	0		270	670	-400
Chic2	14	35683657	34348	#73af42	cysteine-rich hydrophobic domain 2	180	0	0	0		270	670	-400
Il27ra	19	25151995	11962	#73af42	interleukin 27 receptor subunit alpha	180	0	0	0		270	670	-400
Spag9	10	81693770	133792	#73af42	sperm associated antigen 9	180	0	0	0		270	670	-400
Sobp	20	47750762	159613	#73af42	sine oculis binding protein homolog	180	0	0	0		270	670	-400
Pou6f1	7	142204036	6702	#73af42	POU class 6 homeobox 1	180	0	0	0		270	670	-400
Slc39a2	15	28295576	2112	#73af42	solute carrier family 39 member 2	180	0	0	0		270	670	-400
Gab1	19	30794290	109529	#73af42	GRB2-associated binding protein 1	180	0	0	0		270	670	-400
Prg3	3	72395640	5605	#73af42	proteoglycan 3, pro eosinophil major basic protein 2	180	0	0	0		270	670	-400
Psmd8	1	88116811	6832	#73af42	proteasome 26S subunit, non-ATPase 8	180	0	0	0		270	670	-400
Baz2b	3	45970037	260091	#73af42	bromodomain adjacent to zinc finger domain, 2B	180	0	0	0		270	670	-400
Srrd	12	50315876	5612	#73af42	SRR1 domain containing	180	0	0	0		270	670	-400
Synpo2l	15	4064706	9445	#73af42	synaptopodin 2-like	180	0	0	0		270	670	-400
Cela1	7	142305337	13284	#73af42	chymotrypsin like elastase 1	180	0	0	0		270	670	-400
Ppp1r11	20	2094931	3507	#73af42	protein phosphatase 1, regulatory (inhibitor) subunit 11	180	0	0	0		270	670	-400
Ric3	1	173630756	51470	#73af42	RIC3 acetylcholine receptor chaperone	180	0	0	0		270	670	-400
Klhdc8a	13	49074644	8085	#73af42	kelch domain containing 8A	180	0	0	0		270	670	-400
Xpc	4	123134457	27528	#73af42	XPC complex subunit, DNA damage recognition and repair factor	180	0	0	0		270	670	-400
Sdf2	10	65507364	10475	#73af42	stromal cell derived factor 2	180	0	0	0		270	670	-400
Slc6a13	4	153876149	35817	#73af42	solute carrier family 6 member 13	180	0	0	0		270	670	-400
Fmo2	13	80755051	20213	#73af42	flavin containing dimethylaniline monoxygenase 2	180	0	0	0		270	670	-400
Eno2	4	157285192	8845	#73af42	enolase 2	180	0	0	0		270	670	-400
Unc13d	10	104613928	14736	#73af42	unc-13 homolog D	180	0	0	0		270	670	-400
Cyp4f4	7	14891062	16188	#73af42	cytochrome P450, family 4, subfamily f, polypeptide 4	180	0	0	0		270	670	-400
Prpmp5	4	166013226	3109	#73af42	proline-rich protein MP5	180	0	0	0		270	670	-400
Hsbp1	19	51985196	4332	#73af42	heat shock factor binding protein 1	180	0	0	0		270	670	-400
Snx29	10	3841865	407850	#73af42	sorting nexin 29	180	0	0	0		270	670	-400
Ppp1r36	6	99444072	20071	#73af42	protein phosphatase 1, regulatory subunit 36	180	0	0	0		270	670	-400
Blzf1	13	82592170	15209	#73af42	basic leucine zipper nuclear factor 1	180	0	0	0		270	670	-400
Tas2r7l	4	39747447	911	#73af42	taste receptor type 2 member 7-like	180	0	0	0		270	670	-400
Chmp4bl1	4	67059939	1037	#73af42	chromatin modifying protein 4B-like 1	180	0	0	0		270	670	-400
Selenow	1	77530692	5073	#73af42	selenoprotein W	180	0	0	0		270	670	-400
Akr1b1	4	61706866	14093	#73af42	aldo-keto reductase family 1 member B	180	0	0	0		270	670	-400
Serpina3m	6	127808785	7270	#73af42	serpin family A member 3M	180	0	0	0		270	670	-400
Cd101	2	203376593	36532	#73af42	CD101 molecule	180	0	0	0		270	670	-400
Slc17a4	17	43458556	11200	#73af42	solute carrier family 17, member 4	180	0	0	0		270	670	-400
Atg13	3	80580549	34005	#73af42	autophagy related 13	180	0	0	0		270	670	-400
Farp2	9	100660394	107546	#73af42	FERM, ARH/RhoGEF and pleckstrin domain protein 2	180	0	0	0		270	670	-400
Adam34	16	51750790	2149	#73af42	a disintegrin and metallopeptidase domain 34	180	0	0	0		270	670	-400
Irx3	19	15838714	2276	#73af42	iroquois homeobox 3	180	0	0	0		270	670	-400
Magec2	X	145357553	4874	#73af42	MAGE family member C2	180	0	0	0		270	670	-400
Pla2g12a	2	235311719	16253	#73af42	phospholipase A2, group XIIA	180	0	0	0		270	670	-400
RGD1559482	10	104952458	4691	#73af42	similar to immunoglobulin superfamily, member 7	180	0	0	0		270	670	-400
Mrpl36	1	32569843	1096	#73af42	mitochondrial ribosomal protein L36	180	0	0	0		270	670	-400
Lce1m	2	193333800	1202	#73af42	late cornified envelope 1M	180	0	0	0		270	670	-400
Ccl26	12	24158766	3103	#73af42	C-C motif chemokine ligand 26	180	0	0	0		270	670	-400
Scand1	3	152381665	864	#73af42	SCAN domain-containing 1	180	0	0	0		270	670	-400
Arhgef19	5	159755535	18164	#73af42	Rho guanine nucleotide exchange factor 19	180	0	0	0		270	670	-400
Ufd1	11	86304836	23604	#73af42	ubiquitin recognition factor in ER associated degradation 1	180	0	0	0		270	670	-400
Jak1	5	119982943	100961	#73af42	Janus kinase 1	180	0	0	0		270	670	-400
Rag1	3	91206394	11097	#73af42	recombination activating 1	180	0	0	0		270	670	-400
Ftcd	20	12806957	13509	#73af42	formimidoyltransferase cyclodeaminase	180	0	0	0		270	670	-400
Ssbp3	5	126511350	137334	#73af42	single stranded DNA binding protein 3	180	0	0	0		270	670	-400
Clu	15	42626612	39236	#73af42	clusterin	180	0	0	0		270	670	-400
Cd9	4	157977163	32928	#73af42	CD9 molecule	180	0	0	0		270	670	-400
Slc28a1	1	142950540	41386	#73af42	solute carrier family 28 member 1	180	0	0	0		270	670	-400
Rho	4	147832136	5162	#73af42	rhodopsin	180	0	0	0		270	670	-400
Mir500	X	16121332	79	#73af42	microRNA 500	180	0	0	0		270	670	-400
LOC100910558	5	100650512	37672	#73af42	uncharacterized LOC100910558	180	0	0	0		270	670	-400
LOC100909970	17	27840681	9287	#73af42	uncharacterized LOC100909970	180	0	0	0		270	670	-400
LOC100910237	1	22757301	727	#73af42	uncharacterized LOC100910237	180	0	0	0		270	670	-400
Patz1	14	83510640	18258	#73af42	POZ (BTB) and AT hook containing zinc finger 1	180	0	0	0		270	670	-400
LOC100911177	3	163815320	2591	#73af42	uncharacterized LOC100911177	180	0	0	0		270	670	-400
